"processexplorer.exe","Aspen Process Explorer","Infoplus.21","Infoplus.21","The Aspen Process Explorer is a charting tool for data stored in the Infoplus.21 historian. It is currently only used with the HBI CIM 3/4."
"bhpio phone reports.mdb","BHPIO Phone Reporting","Access 97","Oracle 7","The BHPIO Phone Reporting tool is a front end reporting application for the phone directory."
"phone.exe","BHPIO Phones","VB 5","Oracle 7","Front end for SAP HR data."
"busobj.exe","Business Objects","Business Objects","Oracle","BusinessObjects is a general-purpose enquiry and reporting tool which enables users to access data in corporate databases using a Windows graphical user interface."
"cable.mdb","Cables","Access V2","Access V2","?"
"mims.exe","Capital or MIMS","Mint 32","Unix Mincom","Maintenance Improvement Management System used for raising works orders for the Warehouse and for reporting on costs and operating statistics."
"mims.exe","Capital or MIMS","Extra","CICS/COBOL/DB1","The Capital Accounting System maintains asset details for Projects Finance and tax requirements."
"cepacs.exe","Cepacs","VB 3","Oracle","Project/materials management software for HBI construction."
"chaplaincy.mdb","Chaplaincy System","Access 95","Access 95","The Chaplaincy System is a client/server application using access 7.0 for the client and server end. The aim of the system is to record details of consultations with the Industrial Chaplain by employees and contractors (or their family members) of BHP Ir"
"confined spaces.mdb","Confined Spaces","Access 97","Oracle","The purpose of the system is to provide a register of all confined spaces which exist on work sites and any relevant details regarding access to and for performing work upon the confined space."
"crsproj.exe","Crew Rostering","VB 5","Oracle 7","The aim of the system is to provide a means of rostering crews onto shifts and keeping track of individual employee hours. As well as planning overtime hours for the following week."
"rolcin01.exe","Delay Investigation","Centra 16","Oracle","Allows the investigation analysis and reporting of delays in the Railroad system."
"docsrc.mdb","DocFinder","Access V2","Oracle","This system is used to look up document details stored in the DocsOpen Oracle database."
"workspace.exe","Documentum","Shelf Package","Oracle","Documentum is a document control system. There are two versions Workspace used by the document control officers and Smartspace used by most users for viewing and amending documents."
"smartspace.exe","Documentum","Shelf Package","Oracle","Documentum is a document control system. There are two versions Workspace used by the document control officers and Smartspace used by most users for viewing and amending documents."
"donation.mdb","Donations","Access 95","Oracle","Means of recording details of donations and sponsorship given to organisations by BHP Iron Ore."
"da.mdb","Drug & Alcohol","Access","Oracle","The Drug & Alcohol Random Selection System is used to randomly select a person from a group for participation in the drug and alcohol testing."
"edisview.exe","Engineering Drawing Imaging System","VB 4 Kofax Network Viewer 1.5","Access 7",
"equipops.mdb","Equipment Register or Instrument Database","Access v2","Access v2",
"pqviewpl.fmx","Equipment Scheduling","Oracle Forms","Oracle","The Equipment Scheduling System allows a user to produce modify and store daily plans which are used to schedule the use of major equipment (like car dumpers and reclaimers) in Nelson Point."
"pqesched.fmx","Equipment Scheduling","Oracle Forms","Oracle","The Equipment Scheduling System allows a user to produce modify and store daily plans which are used to schedule the use of major equipment (like car dumpers and reclaimers) in Nelson Point."
"safety.mdb","HBI Safety or MQ (Mine Quality)","Access V2","Access V2",
"hr.mdb","HR Tracking","Access V2","Access V2",
"roicmn01.exe","Incident Recording","Access 97 Centura 16 Business Objects","Oracle","Allows the recording, analysis and reporting of incidents in the Railroad system."
"spc.exe","LIMS",,"Oracle","At Boodarie lab, LIMS registers samples collects data from lab instruments calculates values and reports to other systems. Used to manage KPIs automate many laboratory tasks. Also in use at Newman and Cannington. Supplier is Comlabs."
"ccmd.exe","LIMS",,"Oracle","At Boodarie lab, LIMS registers samples collects data from lab instruments calculates values and reports to other systems. Used to manage KPIs automate many laboratory tasks. Also in use at Newman and Cannington. Supplier is Comlabs."
"eventlog.exe","LIMS",,"Oracle","At Boodarie lab, LIMS registers samples collects data from lab instruments calculates values and reports to other systems. Used to manage KPIs automate many laboratory tasks. Also in use at Newman and Cannington. Supplier is Comlabs."
"cclass.exe","LIMS",,"Oracle","At Boodarie lab, LIMS registers samples collects data from lab instruments calculates values and reports to other systems. Used to manage KPIs automate many laboratory tasks. Also in use at Newman and Cannington. Supplier is Comlabs."
"comlog.exe","LIMS",,"Oracle","At Boodarie lab, LIMS registers samples collects data from lab instruments calculates values and reports to other systems. Used to manage KPIs automate many laboratory tasks. Also in use at Newman and Cannington. Supplier is Comlabs."
"wintask.exe","LIMS",,"Oracle","At Boodarie lab, LIMS registers samples collects data from lab instruments calculates values and reports to other systems. Used to manage KPIs automate many laboratory tasks. Also in use at Newman and Cannington. Supplier is Comlabs."
"rolofr01.exe","Loco Failure Recording","Access97","Oracle 7.3","Systems provides for the recording of Locomotive failures so that a history of these are filed."
